City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,klaksvik,62.2266,-6.589,40.12,73,73,24.9,FO,1675131456
1,marfino,55.7028,37.3822,28.65,86,100,15.66,RU,1675131590
2,albany,42.6001,-73.9662,30.63,86,100,1.99,US,1675131190
3,kapaa,22.0752,-159.319,71.92,94,100,24.16,US,1675131350
4,hobart,-42.8794,147.3294,71.46,56,40,12.66,AU,1675131224
5,port hardy,50.6996,-127.4199,35.78,75,100,4.61,CA,1675131475
6,mahebourg,-20.4081,57.7,77.25,88,40,3.44,MU,1675131592
7,nikolskoye,59.7035,30.7861,33.8,97,100,13.67,RU,1675131353
8,san cristobal,7.7669,-72.225,69.98,91,23,2.84,VE,1675131592
9,sao filipe,14.8961,-24.4956,70.57,71,28,7.29,CV,1675131460
10,hilo,19.7297,-155.09,73.13,86,100,4.61,US,1675131345
11,bluff,-46.6,168.3333,65.64,75,47,10.69,NZ,1675131459
12,barrow,71.2906,-156.7887,-9.38,77,0,19.57,US,1675131456
13,puteyets,65.1716,57.091,11.66,91,100,14.09,RU,1675131593
14,ushuaia,-54.8,-68.3,39.06,92,77,3.0,AR,1675131097
15,victoria,22.2855,114.1577,65.25,55,100,5.99,HK,1675131312
16,lorengau,-2.0226,147.2712,83.62,73,51,6.26,PG,1675131350
17,sambava,-14.2667,50.1667,76.24,89,5,4.79,MG,1675131594
18,alta floresta,-9.8756,-56.0861,70.61,97,95,1.7,BR,1675131595
19,tuktoyaktuk,69.4541,-133.0374,-32.8,68,0,0.0,CA,1675131460
20,rikitea,-23.1203,-134.9692,79.25,72,26,10.31,PF,1675131324
21,hermanus,-34.4187,19.2345,66.79,78,29,16.84,ZA,1675131505
22,punta arenas,-53.15,-70.9167,48.31,66,40,10.36,CL,1675131264
23,rognan,67.0953,15.3878,28.89,94,88,4.74,NO,1675131596
24,durant,33.994,-96.3708,25.16,71,100,14.09,US,1675131301
25,ilulissat,69.2167,-51.1,15.82,53,75,10.36,GL,1675131569
26,moerai,-22.4333,-151.3333,80.04,77,23,15.37,PF,1675131597
27,kangaatsiaq,68.3065,-53.4641,7.92,92,100,14.16,GL,1675131597
28,vila do maio,15.1333,-23.2167,70.59,73,51,16.11,CV,1675131597
29,hithadhoo,-0.6,73.0833,81.1,76,76,12.17,MV,1675131468
30,khatanga,71.9667,102.5,-46.44,100,63,3.02,RU,1675131065
31,new norfolk,-42.7826,147.0587,74.91,35,1,3.0,AU,1675131353
32,fort nelson,58.8053,-122.7002,12.94,93,100,2.3,CA,1675131307
33,camacha,33.0833,-16.3333,56.62,58,40,8.05,PT,1675131599
34,marawi,7.9986,124.2928,79.12,61,11,3.87,PH,1675131599
35,vardo,70.3705,31.1107,30.18,86,40,10.36,NO,1675131342
36,cidreira,-30.1811,-50.2056,74.95,88,6,12.44,BR,1675131599
37,georgetown,5.4112,100.3354,82.33,74,20,3.44,MY,1675131257
38,cabo san lucas,22.8909,-109.9124,71.51,65,100,6.91,MX,1675131480
39,atuona,-9.8,-139.0333,79.36,79,58,21.05,PF,1675131349
40,ambilobe,-13.2,49.05,74.43,97,88,1.97,MG,1675131600
41,baruun-urt,46.6806,113.2792,11.71,92,100,13.6,MN,1675131494
