City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,constitucion,-35.3333,-72.4167,67.93,54,78,14.81,CL,1675191063
1,bathsheba,13.2167,-59.5167,83.01,61,40,17.27,BB,1675191163
2,clyde river,70.4692,-68.5914,-14.57,76,100,8.05,CA,1675191163
3,cochrane,51.1834,-114.4687,20.62,84,100,4.34,CA,1675191164
4,strezhevoy,60.7333,77.5889,-4.32,100,68,5.01,RU,1675191164
5,longyearbyen,78.2186,15.6401,17.44,62,40,19.57,SJ,1675191164
6,butaritari,3.0707,172.7902,80.06,78,27,19.89,KI,1675191014
7,ushuaia,-54.8,-68.3,55.06,58,75,14.97,AR,1675190965
8,rikitea,-23.1203,-134.9692,78.85,74,9,11.5,PF,1675191165
9,smithers,54.7804,-127.1743,16.12,92,100,4.61,CA,1675191166
10,avarua,-21.2078,-159.775,77.05,88,75,4.61,CK,1675190992
11,gao,16.6362,1.637,71.98,5,99,10.38,ML,1675191166
12,dikson,73.5069,80.5464,-3.44,91,100,9.04,RU,1675191034
13,shahe,39.2708,113.5478,16.29,55,100,7.56,CN,1675191167
14,cape town,-33.9258,18.4232,72.12,77,0,16.11,ZA,1675191167
15,hobart,-42.8794,147.3294,58.86,81,93,8.05,AU,1675191168
16,praia da vitoria,38.7333,-27.0667,59.76,77,40,10.87,PT,1675191168
17,airai,-8.9266,125.4092,60.58,94,100,1.9,TL,1675190964
18,hervey bay,-25.2986,152.8535,79.12,84,100,19.82,AU,1675191169
19,meulaboh,4.1363,96.1285,74.89,88,100,8.72,ID,1675191169
20,thompson,55.7435,-97.8558,-23.64,69,40,5.75,CA,1675191159
21,alice springs,-23.7,133.8833,72.95,100,100,0.0,AU,1675191170
22,petropavlovsk-kamchatskiy,53.0452,158.6483,-1.23,78,40,8.95,RU,1675191170
23,kruisfontein,-34.0033,24.7314,68.9,92,18,7.18,ZA,1675191171
24,jijiga,9.35,42.8,65.05,40,27,2.8,ET,1675191172
25,opovo,45.0522,20.4303,37.47,87,0,8.05,RS,1675191172
26,hilo,19.7297,-155.09,75.27,85,40,6.91,US,1675191172
27,vaini,-21.2,-175.2,80.76,89,75,11.5,TO,1675190975
